sentences,keywords,cluster_ID_kmeans
New AmericanSniper Movie Poster HonorChrisKyle ,"honorchriskyle, americansniper movie poster",1
American Sniper protagonist Chris Kyle describes killing 250 Iraqis as fun and something he loved to do ,"iraqis, fun, chris kyle, something",0
"Feb 2nd is officially declared ""Chris Kyle"" day in Texas Governor Abbott announced this morning AmericanSniper","americansniper, chris kyle, this morning, texas, abbott, day",0
Bradley Cooper Clint Eastwood onset of AmericanSniper HonorChrisKyle ,"honorchriskyle, clint eastwood, americansniper honorchriskyle, bradley cooper clint eastwood onset",2
Sienna Miller ChrisKyleFrog's real wife Taya Kyle discuss AmericanSniper with CBSNews ,"sienna miller chriskylefrog 's, wife taya kyle, americansniper, cbsnews, taya kyle",0
American sniper is actually in the top right corner Bradley cooper is a fraud ,"top right corner bradley cooper, fraud, bradley",2
Ultimate respect for Chris Kyle (1974-2013 RIP Solider  AmericanSniper ,"americansniper, chris kyle, kyle, ultimate respect, solider",0
"BTW if you haven't yet seen ""American Sniper"" pls go support it Amazing story of an amazing American hero RIP thank you Chris Kyle","chris kyle, amazing american hero, amazing story, kyle, american sniper",0
"Bradley Cooper on his 40-pound weight gain for AmericanSniper ""I was so monstrous"" ","bradley cooper, americansniper, weight gain",2
LET'S HonorChrisKyle BY MAKING CLINT EASTWOOD'S AmericanSniper THE BIGGEST PATRIOTIC BLOCKBUSTER EVER ,"patriotic blockbuster, blockbuster, making clint eastwood, americansniper",1
"MaxBlumenthal American sniper Chris Kyle enjoyed killing Iraqi ""savages"" Can a rotten dead soul even feel anguish ","chris kyle, iraqi, american sniper chris kyle, savages",0
"QA Bradley Cooper on ""American Sniper"" gaining 40 lbs and turning 40 ","qa bradley cooper, lbs, american sniper",2
Taya Kyle Clint Eastwood at NY Premier of AmericanSniper HonorChrisKyle ,"ny premier of, americansniper, honorchriskyle, ny premier, premier, clint eastwood",1
AmericanSniper portrays Iraqi women children as soulless monsters who Chris Kyle is forced to kill to protect invading US soldiers,"chris kyle, us, soldiers, soulless monsters",0
SEAL who helped train Chris Kyle on what AmericanSniper got right and what it got wrong ,"chris kyle, kyle, americansniper, train chris kyle",0
AmericanSniper Counting down the records Clint Eastwood broke ,clint eastwood,2
Catch AmericanSniper star Bradley Cooper on FallonTonight at 1135/1035c on NBC ,"bradley cooper, fallontonight, americansniper star bradley cooper, cooper",2
Sarah Palin has a message for Michael Moore the idiot that called Chris Kyle a Coward AmericanSniper ,"chris, americansniper, idiot, chris kyle, coward, michael moore",0
The intense training Bradley Cooper went through to gain 40 lbs of muscle for AmericanSniper ,"bradley cooper, muscle, lbs, americansniper",2
"Clint Eastwood on 'American Sniper's' ""Biggest Antiwar Statement"" ","sniper, biggest antiwar statement, american sniper 's ', american sniper, clint eastwood",2
michellemalkin stacyhyatt seanhannity DLoesch davidwebbshow WayneDupreeShow HonorChrisKyle AmericanSniper ,"honorchriskyle, americansniper, waynedupreeshow",1
Honor the memory of Chris Kyle a true hero and friend by attending a preview screening of AmericanSniper on 1/14 ,"preview screening, americansniper, chris kyle, true hero, friend",0
Off to Morocco to work with Clint Eastwood and Bradley Cooper on AmericanSniper Stoked,"stoked, bradley cooper, clint eastwood, americansniper",2
I think my favorite moment of American Sniper was when I realized Bradley Cooper's brother was played by THIS GUY ,"american sniper, brother, bradley cooper 's, guy",2
"Land of the free and Home of the brave"" Honorthefallen AmericanSniper HonorChrisKyle ","honorchriskyle, honorthefallen americansniper honorchriskyle",1
Saw american sniper last night Phenomenal Bradley Cooper nailed it If u see 1 movie this year see this,"this year, bradley cooper, movie, last night, phenomenal bradley cooper",2
'AmericanSniper' Starring Bradley Cooper What the Critics Are Saying ,"bradley cooper, cooper",2
Liberals crying because American Sniper by conservative Eastwood is up for 6 Oscars Love it tcot pjnet FoxNews ,"eastwood, american, foxnews, american sniper",2
Listen to the best-selling 'American Sniper' written by Chris Kyle today ,"today, chris kyle",0
'American Sniper' Stars Writer Went Beyond Chris Kyle's Book ,"chris kyle, stars writer went beyond, kyle, chris kyle 's, book",0
Merry Christmas On the first day of Christmas MTL gave to me 500 rds of 223 ammo American Sniper ticket ,"christmas, mtl, ticket",2
Pre-Screening of American Sniper to benefit The Chris Kyle Foundation 1/14/15 CHI SAN MCI DFW SAT DEN MIA ,"mia, mci, sat, the chris kyle foundation, american sniper, den",0
Listen to the best-selling 'American Sniper' written by Chris Kyle Scott McEwan and Jim DeFelice today ,"today, chris kyle, chris kyle scott mcewan, mcewan, jim defelice",0
A SHOTShow2015 highlight for me was meeting Taya Kyle AmericanSniper ChrisKyleFrog ,"chriskylefrog, taya kyle, shotshow2015 highlight, americansniper",1
"Honor Chris Kyle ""The Legend""  ""The American Sniper"" ""The Devil of Ramadi"" SEAL Team 3 ",""" the devil of ramadi "", seal team, chris kyle, the legend, team, american sniper",0
CLINT EASTWOOD DIRECTOR OF AmericanSniper ,"clint eastwood director, americansniper",1
I just want to know if Bradley Cooper wins for American Sniper Can we move along to it,"sniper, bradley cooper, american, american sniper",2
CPO Chris Kyle HonorChrisKyle AmericanSniper ,"chris kyle, americansniper, honorchriskyle",0
AmericanSniper broke box office records this weekend Revisit nickschmidles piece on Chris Kyles life and death ,"nickschmidles piece, life, chris kyles, death, box office records, revisit",0
Saw American Sniper today Wow what a film Awesome performance by Bradley Cooper as Chris Kyle one of America's best GodBlessOurTroops,"chris kyle, today, bradley cooper, kyle, godblessourtroops, america",0
NeverForgotten USNavy SEAL Chris Kyle AmericanSniper LLTB (PhotoCredit forgedclothing CenterMassGroup ,"chris kyle, centermassgroup, photocredit, lltb",0
(( NEW EVENT FLAGS ACROSS AMERICA FEB 2ND 2015 FLY YOUR FLAGS HALF MAST IN MEMORY OF CHRIS KYLE RIP AmericanSniper ChrisKyleFrog,"feb 2nd 2015, chriskylefrog, memory, flags half mast in memory of chris kyle rip americansniper chriskylefrog, america, fly",0
In case you didn't know Bradley and I also directed American sniper Oops arclight ,"bradley, american, arclight, american sniper",2
Hollywood smears AmericanSniper 'labels Kyle a coward Nazi' toddstarnes l ,"nazi, labels, coward nazi, kyle",0
Saw AmericanSniper tonight by far the best movie I have seen in my life We need more Chris Kyles and fewer Michael Moores ,"chris kyles, michael moores, michael, more chris kyles, moores, tonight",0
Bill Maher calls AmericanSniper Chris Kyle 'a psychopath patriot' ,"psychopath patriot, psychopath, chris kyle, kyle, patriot, chris kyle '",0
Catch Bradley Cooper (along with some dueling Elephant Man impressions again today on Howard 100 AmericanSniper ,"howard, americansniper, today, elephant man, catch bradley cooper",2
"WHAT AmericanSniper star Bradley Cooper was once told he wasn't ""f***able"" Find out why on E News tonight ","bradley cooper, tonight, f***able """,2
Miller Time Thank God For Men Like AmericanSniper Chris Kyle - ,"americansniper chris kyle, kyle, men like americansniper chris kyle -, god",0
Bradley Cooper's transformation before after 40lb weight gain to play Chris Kyle in AmericanSniper HonorChrisKyle ,"chris, americansniper, chris kyle, honorchriskyle, lb weight gain, kyle",0
"Texas governor declares ""Chris Kyle Day"" to honor AmericanSniper subject ","day, chris kyle day, americansniper",0
Oscars TheAcademy Awards nominee Bradley Cooper on his AmericanSniper transformation ,"bradley cooper, transformation, cooper, americansniper",2
Go see it a 2nd or 3rd time RIP thank you Chris Kyle RT THRmovies 'American Sniper' Hits Stunning 200M ,"m, kyle rt thrmovies, chris kyle rt, american, american sniper",0
Taya Kyle opens up about her late husband AmericanSniper Chris Kyle ,"chris kyle, taya kyle",0
I really wish I could ChrisKyle AmericanSniper HonorChrisKyle SEALofHonor ,"chriskyle, sealofhonor",2
nice RT toddstarnes American Snipers Bradley Cooper loses out in Best Actor oscars ,"best, american snipers bradley cooper, best actor",2
"American Sniper Chis Kyle ""HERO"" debate DramaAlert ","american sniper chis kyle, dramaalert, hero",2
Oscars my prayers are that AmericanSniper takes home BestPicture BradleyCooper BestActor ,"bestactor, bestpicture bradleycooper bestactor, americansniper",1
Did you see AmericanSniper BradleyCooper is superb,"bradleycooper, americansniper",1
'American Sniper' already ranks 4th all-time for Clint Eastwood will be 1st by next weekend ,"4th, next weekend, 1st, clint eastwood, weekend",2
The logo AmericanSniper Chris Kyle designed 4 his security training company before he died AmericanPsycho ,"security, company, americansniper chris kyle, security training company, americanpsycho",0
Chris Kyle ~ American Hero The AmericanSniper RedNationRising ,"chris kyle, rednationrising, american hero, americansniper",0
Clint Eastwood americansniper is an 'anti-war statement' ,"eastwood americansniper, war statement, statement",1
RT if you have the most respect for Chris Kyle AmericanSniper AmericanHero Hero,"chris kyle, hero, americanhero hero",0
Bradley Cooper American Sniper ontheset ,"ontheset, bradley cooper american sniper",2
FLAGS ACROSS AMERICA FEB 2ND 2015 FLY YOUR FLAGS HALF MAST IN MEMORY OF CHRIS KYLE RIP AmericanSniper HonorChrisKyle,"feb 2nd 2015, flags half mast in memory of chris kyle rip americansniper honorchriskyle, memory, honorchriskyle, flags across america",0
Do you think Bradley Cooper + AmericanSniper will win big tonight ,"bradley cooper, tonight, americansniper",2
MaxBlumenthal RT HonorChrisKyle United States Navy SEAL CPO Chris Kyle HonorChrisKyle AmericanSniper ,"chris kyle, maxblumenthal rt honorchriskyle united, americansniper, honorchriskyle",0
Quote From The AmericanSniper HonorChrisKyle RedNationRising ,the americansniper honorchriskyle,1
This is what Sethrogen was doing while Chris Kyle was overseas at war serving our country AmericanSniper ,"chris kyle, war, americansniper",0
AmericanSniper is amazing Cooper is astounding in it really recommend this movies,cooper,2
Bradley Cooper on the anti-war pushback against AmericanSniper ,"bradley cooper, anti-war pushback, americansniper",2
Taken during Chris's memorial/services in Dallas DFD AmericanSniper neverforgotten ChrisKyle  ,"chriskyle, dallas",2
A buff Bradley Cooper the Real Chris Kyle The AmericanSniper ,"chris kyle, bradley cooper, real chris kyle, americansniper",0
Look what came today I can't wait to read it HonorChrisKyle ChrisKyleFrog AmericanSniper ,"today, chriskylefrog, americansniper",1
Saw American Sniper Thankful for the Chris Kyles of world who protect the backs of the timid souls whose lone jobs are to critique,"timid souls, lone jobs, backs, chris kyles",0
Pls RT My defense of American Sniper Chris Kyle from Lindy West and the Guardian's attempt to tear down a good ,"chris kyle, american sniper chris kyle, lindy west, guardian, attempt, west",0
LLTB thelegend NavySEALs AmericanSniper OnlyEasyDay1 HonorChrisKyle BrandonTWebb authorsmcewen ,"authorsmcewen, honorchriskyle, brandontwebb",2
At AFIAwards Oprah Winfrey leading Meryl Streep by the hand Eastwood didn't hear AmericanSniper got 2 BAFTA noms ,"americansniper, eastwood, noms, bafta, meryl streep, hand eastwood",1
These morons aren't worthy of licking the dirt off Kyle's boots Boycott forever AmericanSniper ,"boots, americansniper, kyle",1
Alec Baldwin memoir coming out 2016 'How I became Hollywood's BIGGEST Dick-Head' AmericanSniper HonorChrisKyle ,"hollywood, americansniper, honorchriskyle, alec baldwin memoir, alec baldwin, biggest dick-head",1
That's it I'm changing to whatever cell provider Bradley Cooper's character is using in American Sniper,"sniper, bradley cooper 's, 'm, character, cell provider, american sniper",2
American Sniper is on track to make 105 million this weekend Read our cover story with star Bradley Cooper ,"bradley cooper, cover story, cooper",2
Standing room only crowd of 1600 people as AmericanSniper widow Taya Kyle speaks tonight near Minneapolis ,"americansniper, widow taya kyle, taya kyle, minneapolis, tonight",0
REMEMBER Chris Kyle's father mother brother USMC veteran Jeff Kyle Thank you Guardian4Heroes AmericanSniper BeastMode,"usmc, kyle, father mother brother, chris kyle 's, jeff kyle, beastmode",0
"RT ""Spareacct39 navy Hooyah honorchriskyle americanhero americansniper HonorChrisKyle  ","honorchriskyle, americanhero, americansniper",1
"Bradley Cooper to join Taya Kyle for ""American Sniper"" screening Benefits ChrisKyleFrog Foundation Jan 14 Cinemark West Plano 630 pm","chriskylefrog foundation jan, west plano, benefits chriskylefrog foundation, 14 cinemark, american sniper, 630 pm",2
US comedian Bill Maher slams 'American Sniper' for glorifying 'psychopath patriot' Chris Kyle ,"sniper, psychopath patriot, chris kyle, kyle, american, american sniper",0
Jury selection began today in trial of man accused of murdering AmericanSniper ChrisKyle Tune in to KellyFile for details,"americansniper chriskyle tune, tune, today, man, kellyfile, details",1
Today AmericanSniper hits theaters Before he died I had the honor of sitting down with Chris Kyle ,"chris kyle, theaters, chris, kyle",0
"TRENDING (HonorChrisKyle Feb 2nd In memory of ""The Legend"" Chris Kyle (All day AmericanSniper PJNET","all day, memory, chris kyle, honorchriskyle feb 2nd, honorchriskyle feb, pjnet",0
"""I don't shoot people with Korans I'd like to but I don't"" -American Sniper and tcot hero Chris Kyle ","chris kyle, korans, kyle, people",0
Liberals crying because American Sniper by conservative Eastwood is up for 6 Oscars Love it tcot pjnet FoxNews ,"eastwood, american, foxnews, american sniper",2
Just been to see 'American sniper' What a film Bradley Cooper is so brilliant Thoroughly recommend,"sniper, thoroughly, bradley cooper, american, american sniper",2
When the movie ends and there is complete and respectful silence you've struck a nerve AmericanSniper Wow ChrisKyle,"chriskyle, americansniper wow chriskyle, respectful silence",1
Watched AmericanSniper today Incredibly powerful and moving BradleyCooper is excellent,"today, bradleycooper",2
WarriorWednesday AmericanSniper HonorChrisKyle ,honorchriskyle,2
Sienna Miller Clint Eastwood At NY Premier of AmericanSniper HonorChrisKyle ,"ny premier of, americansniper, honorchriskyle, ny premier, premier, clint eastwood",1
Michael Moore can't find his belly button no less survive war like ChrisKyle did AmericanSniper,"chriskyle, war, belly button, americansniper",1
Hollywood LiberalDead can suck it Oscars2015 Oscars BestPicture should have went to AmericanSniper ChrisKyle,"chriskyle, bestpicture, oscars2015 oscars bestpicture",2
MA L'ANSIA CHE MI HA MESSO AMERICAN SNIPER NON PER LA GUERRA MA PERCH BRADLEY COOPER  BRUTTO IN QUESTO FILM,"film, la, ma, cooper, american sniper, brutto",2
AmericanSniper was incredible Opens your eyes to what Veterans deal with Salutethetroops legend MT Dawg_Fan_Nick ChrisKyleFrog,"salutethetroops, opens, chriskylefrog, veterans",2
Did you see the AmericanSniper this weekend Check out my interview with Bradley Cooper Taya Kyle ,"check, interview, bradley cooper taya, kyle, weekend check",2
im halfway through american sniper and the biggest takeaway for me is that chris kyle got horny when women wore corduroys,"chris kyle, corduroys, biggest takeaway, american sniper",0
Ocar Nominated AmericanSniper opening EVERYWHERE Jan 16th based on the true story of America's most deadliest sniper Chris Kyle PJNET,"true story, chris kyle pjnet, everywhere jan 16th, pjnet, america",0
**Texas Governor Declares Chris Kyle Day**  ,"day, chris kyle day",0
What's on your 2015 reading list AmericanSniper by ChrisKyleFrog authorsmcewen is a must TheLegend CKFFdn ,"chriskylefrog authorsmcewen, ckffdn, americansniper",1
JOIN TOMORROW foxandfriends I'm going BeastModeForTheBrave 2honor AmericanSniper ChrisKyle veterans beastmodebrave HonorChrisKyle,"americansniper, tomorrow foxandfriends, honorchriskyle, 'm, beastmodeforthebrave",1
tiffallon I hangin' with the greatest party host ever attproam clinteastwood americansniper -- JoeDonRooney ,"joedonrooney, clinteastwood, americansniper, greatest party host",1
"""American Sniper"" set to shatter box office records God bless Chris Kyle TY Clint Eastwood ","chris kyle, eastwood, clint eastwood, clint",0
Here's our convo with Bradley Cooper Taya Kyle about AmericanSniper ,"bradley cooper, bradley cooper taya kyle, kyle, americansniper",2
AMERICAN SNIPER meta-sequel about Eastwoods crew returning home from set haunted by the shots theyve taken and the cries of robot babies,"set, eastwoods, cries, shots, eastwoods crew, babies",2
AmericanSniper should win BestPicture Oscars2015 HonorChrisKyle,"honorchriskyle, bestpicture oscars2015 honorchriskyle",2
Bradley Cooper from AmericanSniper RedNationRising ,"bradley cooper, rednationrising",2
Just watched American Sniper for the second time Chris Kyle  hero,"chris kyle, american sniper, hero, second",0
Can't believe they used a wax figure of Bradley Cooper for the entire American Sniper movie,"bradley cooper, movie, wax figure, cooper, american sniper",2
Was floored by Bradley Cooper's performance in AMERICANSNIPER Holy shit Unbelievable BradleyCooper ChrisKyle ,"bradleycooper, americansniper holy, bradley cooper 's, chriskyle, performance",2
"""Illegal Iraq war left 1 million Iraqis dead 45m displaced 1 to 2m widowed 5m orphaned"" American Sniper wants me to pity Chris Kyle","sniper, m, chris kyle, iraqis, kyle, american",0
Even ClintEastwood needed Kleenex after talking w/ AmericanSniper ChrisKyle's widow ,"chriskyle, widow, kleenex, americansniper chriskyle",1
That plastic baby in American Sniper is going to be rationalized by Eastwood auteur cultists until the end of days,"days, eastwood, eastwood auteur cultists, the end of days, end, cultists",2
As anti-Muslim threats skyrocket in wake of AmericanSniper adctweets calls on Eastwood Cooper to speak out ,"eastwood cooper, cooper, americansniper adctweets",2
US comedian Bill Maher slams 'American Sniper' for glorifying 'psychopath patriot' Chris Kyle ,"sniper, psychopath patriot, chris kyle, kyle, american, american sniper",0
"TRENDING (HonorChrisKyle Feb 2nd In memory of ""The Legend"" Chris Kyle (All day AmericanSniper PJNET","all day, memory, chris kyle, honorchriskyle feb 2nd, honorchriskyle feb, pjnet",0
AmericanSniper widow Taya Kyle shares an uplifting Valentine's Day message about gratitude ,"valentine, message, taya kyle, day message, gratitude",0
Taya Kyle opens up on what it's like to be at the Oscars without AmericanSniper hero Chris ,"oscars, chris, americansniper",1
"""We didn't make American Sniper to win awards"" ~ Clint Eastwood ","eastwood, clint, american sniper, ~ clint eastwood, awards",2
American Sniper was such a hit in my area that the theater made space to show it on 3 screens by taking over Annie showings HonorChrisKyle,"theater, area, honorchriskyle, space",2
Reducing AMERICAN SNIPER's bo victory to a pedantic conservative/liberal turf war is an absurd denigration of Eastwood's artistry,"absurd denigration, artistry, eastwood, pedantic conservative, liberal turf war, bo victory",2
Bradley Cooper at Premier of AmericanSniper HonorChrisKyle ,"honorchriskyle, bradley cooper, premier",2
Opening scene of AmericanSniper seamlessly blends shooting a child an animal The real Chris Kyle wasn't anguished He loved what he did,"chris kyle, real chris kyle, animal, americansniper",0
SeanHannity The opening scene to American Sniper has Chris Kyle killing a boy Yes or No Is this your favorite film to masturbate to,"sniper, chris kyle, kyle, american, opening scene, boy",0
Why doesn't AMERICAN SNIPER include Chris Kyle claiming he sniped Americans in New Orleans during Katrina,"katrina, americans, chris kyle, new orleans",0
If you haven't read it READ IT AmericanSniper HonorChrisKyle ,honorchriskyle,2
Texas Gov Greg Abbott Has Announced He's Declaring Feb 2nd Officially ChrisKyle Day AmericanSniper RedNationRising,"declaring feb 2nd, greg abbott, chriskyle day, 2nd, rednationrising",2
Finally saw AmericanSniper Bradley Cooper was fantastic He had a stillness that came from depth Maybe my favorite of his performances,"performances, depth, favorite, stillness, americansniper bradley cooper",2
Birdman wins BestPicture w/ Beetlejuice while most Americans went to watch AmericanSniper BradleyCooper Oscars2015 CommonCore,"bestpicture w/ beetlejuice, americansniper bradleycooper oscars2015 commoncore, americans, commoncore, most americans",2
Clint Eastwoods American Sniper is one of the most mendacious movies of 2014 ,"sniper, clint eastwoods, mendacious movies",2
American Sniper best movie of the year Bradley a Cooper Clint Eastwood Awesome,"bradley, awesome, american sniper best movie, year bradley, cooper clint eastwood awesome",2
Let's Show Everyone Chris Kyle is an HERO By Selling Out Every Showing of AmericanSniper  HonorChrisKyle PJNET,"americansniper, chris kyle, show everyone, pjnet, hero",0
Hoping AmericanSniper miltary men women get d respect they deserve 2nite God bless r heroes RealDeanCain dauber246 ChrisKyleFrog,"chriskylefrog, respect",2
"Bradley Cooper made all of the gun noises in ""American Sniper"" with his mouth","sniper, bradley cooper, gun noises, american sniper",2
The opening scene of American Sniper shows Kyle gun down an Iraqi boy and his mom to save our troops Minutes later we flash back to 9-11,"iraqi boy, minutes, iraqi, kyle gun, kyle, troops minutes",0
'American Sniper' REMINDER Same Leftists Defaming Chris Kyle as 'Killer' Wanted Every Iraqi Dead - Breitbart ,"dead-breitbart, chris kyle, iraqi, kyle, reminder same leftists defaming chris kyle, killer",0
Shit American Sniper isn't even Clint Eastwood's best war film Letters From Iwo Jima was incredible and severely underrated,"best war film letters, iwo, letters, letters from iwo jima, clint eastwood 's",2
"TRENDING (HonorChrisKyle Feb 2nd In memory of ""The Legend"" Chris Kyle (All day AmericanSniper PJNET","all day, memory, chris kyle, honorchriskyle feb 2nd, honorchriskyle feb, pjnet",0
Love Bradley Cooper AmericanSniper is phenomenal film He deserve Oscar but will probably be snubbed again,"love bradley cooper americansniper, phenomenal film, oscar",2
America chooses Clint Eastwood as best director Bradley Cooper as best actor American Sniper as best picture SCREW LIBERAL HOLLYWOOD,"hollywood, best actor, best director bradley cooper, bradley cooper, american, american sniper",2
How does American Sniper deal with Chris Kyle's lies It ignores them ,"chris kyle 's, lies, american sniper deal",0
